name,salary_from,salary_to,salary_currency,area_name,published_at
Торговый Представитель,,80000.0,RUR,Большая Мурта,2022-12-25T05:51:44+0300
Упаковщик заказов,67000.0,,RUR,Новосибирск,2022-12-25T03:10:43+0300
"Продавец-кассир, пгт Чульман",37000.0,40000.0,RUR,Чульман,2022-12-25T03:20:57+0300
Арматурщик,100000.0,,RUR,Средний,2022-12-25T04:35:33+0300
Специалист по безопасности в Гипермаркет Магнит,39000.0,39000.0,RUR,Дзержинск (Нижегородская область),2022-12-25T00:29:58+0300
Монтажник,100000.0,,RUR,Култук,2022-12-25T04:35:31+0300
Торговый представитель (г. Абаза - с. Шира),60000.0,,RUR,Абаза,2022-12-25T05:51:44+0300
Медицинская сестра процедурная/Медицинский брат процедурный,30000.0,35000.0,RUR,Красноярск,2022-12-25T05:35:59+0300
Плотник,100000.0,,RUR,Михайловка (Иркутская область),2022-12-25T04:35:29+0300
Слесарь-сантехник,100000.0,,RUR,Железнодорожный (Иркутская область),2022-12-25T04:35:32+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Кемерово,2022-12-25T04:35:14+0300
"Торговый представитель (п. Большая Мурта, Зелёная Роща, Северный, Солнечный )",,80000.0,RUR,Красноярск,2022-12-25T05:51:44+0300
"Оператор терминала сбора данных гипермаркета Аллея, г. Иркутск",22000.0,25000.0,RUR,Иркутск,2022-12-25T04:35:37+0300
Мерчендайзер (Сети),,25000.0,RUR,Красноярск,2022-12-25T05:51:44+0300
Менеджер по продажам,35000.0,100000.0,RUR,Казань,2022-12-25T01:37:25+0300
Психолог,27000.0,,RUR,Черемхово,2022-12-25T05:36:25+0300
Каменщик,100000.0,,RUR,Усолье-Сибирское,2022-12-25T04:35:33+0300
Плотник,100000.0,,RUR,Средний,2022-12-25T04:35:29+0300
Каменщик,100000.0,,RUR,Култук,2022-12-25T04:35:34+0300
Оператор печатных машин в оперативной полиграфии/дизайнер,30000.0,,RUR,Омск,2022-12-25T04:14:41+0300
